run_id,dataset,rmse,mean,max,std,median,scale_factor
2026-01-31_09-47-10_result_normal_V202_MaskRandom_run1,f_dataset-V202_stereo_imu,GT_V202,0.014225866813566673,0.012778112020332173,0.03947823270117109,0.0062526106382198516,0.011217647238040186,1.0039166798907553
2026-01-31_09-47-10_result_normal_V202_MaskRandom_run10,f_dataset-V202_stereo_imu,GT_V202,0.014368522199028538,0.013004383141545554,0.048742177962994335,0.006110683209908836,0.012458920616601487,1.0036745754855252
2026-01-31_09-47-10_result_normal_V202_MaskRandom_run2,f_dataset-V202_stereo_imu,GT_V202,0.014759994074039657,0.013118639805727542,0.0410556291529292,0.006764518808700782,0.01118197305672175,1.0039783930513313
2026-01-31_09-47-10_result_normal_V202_MaskRandom_run3,f_dataset-V202_stereo_imu,GT_V202,0.011925469746274465,0.010490045296672976,0.036702585684972026,0.005672369729051234,0.009467616796675023,1.002452323743318
2026-01-31_09-47-10_result_normal_V202_MaskRandom_run4,f_dataset-V202_stereo_imu,GT_V202,0.01333977143074467,0.011892737362063293,0.03981369787956932,0.006042540844834688,0.010256626808558674,1.0027378319117384
2026-01-31_09-47-10_result_normal_V202_MaskRandom_run5,f_dataset-V202_stereo_imu,GT_V202,0.016894526472323142,0.015005439085064664,0.047677198828510854,0.007762848870642869,0.01375462024076447,0.9995562826647241
2026-01-31_09-47-10_result_normal_V202_MaskRandom_run6,f_dataset-V202_stereo_imu,GT_V202,0.012473430077676964,0.010917470354116528,0.04345513880721667,0.0060328516449257305,0.009771282962318214,1.0019551564684595
2026-01-31_09-47-10_result_normal_V202_MaskRandom_run7,f_dataset-V202_stereo_imu,GT_V202,0.022893487372684835,0.019369455712469702,0.09288251564867575,0.012203931722439072,0.017639651128272198,0.9992664131640616
2026-01-31_09-47-10_result_normal_V202_MaskRandom_run8,f_dataset-V202_stereo_imu,GT_V202,0.024554555068910904,0.021824681508801905,0.06294820934189209,0.011252086547460355,0.02019203356699139,0.9948762985576379
2026-01-31_09-47-10_result_normal_V202_MaskRandom_run9,f_dataset-V202_stereo_imu,GT_V202,0.014364675764114099,0.012691085676987632,0.04176565872891132,0.006729060420852698,0.011084889999520836,1.0036244967836243
2026-01-31_09-47-10_result_normal_V203_MaskRandom_run1,f_dataset-V203_stereo_imu,GT_V203,0.034109352560568525,0.030571719631032907,0.14920743451918345,0.015126727699759793,0.029822115531206738,1.0040972793197565
2026-01-31_09-47-10_result_normal_V203_MaskRandom_run10,f_dataset-V203_stereo_imu,GT_V203,1.48780097502313,0.9959541177911013,15.802149165181687,1.1052724263885014,0.7799512538221016,0.6084434569620891
2026-01-31_09-47-10_result_normal_V203_MaskRandom_run2,f_dataset-V203_stereo_imu,GT_V203,0.09101267821740427,0.07303374439203084,0.8176632120728703,0.05430819253468376,0.061640546901906665,0.9945173744807067
2026-01-31_09-47-10_result_normal_V203_MaskRandom_run3,f_dataset-V203_stereo_imu,GT_V203,0.2378017749178524,0.2114549587541963,0.529506154410446,0.10879560915929509,0.17503815530778924,0.9293796341488332
2026-01-31_09-47-10_result_normal_V203_MaskRandom_run4,f_dataset-V203_stereo_imu,GT_V203,0.035407489840266274,0.032549004348959985,0.10557338961643163,0.013937455028804358,0.030494919017514215,0.9990966978336657
2026-01-31_09-47-10_result_normal_V203_MaskRandom_run5,f_dataset-V203_stereo_imu,GT_V203,0.039790337075609375,0.03291498064157668,0.17735463692011574,0.02235788393286016,0.027572312425390363,0.998119682813618
2026-01-31_09-47-10_result_normal_V203_MaskRandom_run6,f_dataset-V203_stereo_imu,GT_V203,0.03459914876322877,0.02931391671224812,0.10223920805281728,0.018379210595872032,0.024314009075923383,0.9998082930347888
2026-01-31_09-47-10_result_normal_V203_MaskRandom_run7,f_dataset-V203_stereo_imu,GT_V203,0.0509500430627893,0.023585290878439247,0.8095409725360605,0.04516238415185246,0.018573868071881546,0.9998907094758898
2026-01-31_09-47-10_result_normal_V203_MaskRandom_run8,f_dataset-V203_stereo_imu,GT_V203,0.023010625391612086,0.020111757336367424,0.10706092048339565,0.011180612584119608,0.018676325536615312,1.0033177597250842
2026-01-31_09-47-10_result_normal_V203_MaskRandom_run9,f_dataset-V203_stereo_imu,GT_V203,1.3136336574326444,0.529298305603588,6.4706684081058885,1.2022797884124297,0.24954445002715187,0.6934654357430606
2026-01-31_14-44-44_result_normal_MH01_MaskVerticalStripes_run1,f_dataset-MH01_stereo_imu,GT_MH01,0.04547798044345182,0.04152078874180187,0.08888168721914876,0.018554536034987364,0.04533374819997048,1.0090979595519882
2026-01-31_14-44-44_result_normal_MH01_MaskVerticalStripes_run10,f_dataset-MH01_stereo_imu,GT_MH01,0.04295893194805262,0.03985677510731711,0.08199475867099211,0.016028328426949692,0.045509322841865096,1.0085882933323553
2026-01-31_14-44-44_result_normal_MH01_MaskVerticalStripes_run2,f_dataset-MH01_stereo_imu,GT_MH01,0.04244492385134972,0.03900805616839504,0.11508962006535026,0.016731500671195467,0.04355181700699039,1.00814398071223
2026-01-31_14-44-44_result_normal_MH01_MaskVerticalStripes_run3,f_dataset-MH01_stereo_imu,GT_MH01,0.04358339624748237,0.040920355014079444,0.09321368467457873,0.015001232415597168,0.046542965065808795,1.0083494809016837
2026-01-31_14-44-44_result_normal_MH01_MaskVerticalStripes_run4,f_dataset-MH01_stereo_imu,GT_MH01,0.034893145719397,0.03206513132928843,0.07093797537270474,0.01376077654169849,0.03683407214879095,1.0065763732990032
2026-01-31_14-44-44_result_normal_MH01_MaskVerticalStripes_run5,f_dataset-MH01_stereo_imu,GT_MH01,0.03697336527979635,0.03435101839455868,0.08415511801609118,0.013676157185771922,0.03707554288778344,1.0064880618748926
2026-01-31_14-44-44_result_normal_MH01_MaskVerticalStripes_run6,f_dataset-MH01_stereo_imu,GT_MH01,0.03783115318137117,0.03516140645187496,0.07525759436147882,0.013959643525477848,0.038059877133381305,1.0071086284706048
2026-01-31_14-44-44_result_normal_MH01_MaskVerticalStripes_run7,f_dataset-MH01_stereo_imu,GT_MH01,0.03691855765038704,0.03436787090642329,0.07023153201538308,0.013484411308780754,0.039235078888573124,1.0070371336132016
2026-01-31_14-44-44_result_normal_MH01_MaskVerticalStripes_run8,f_dataset-MH01_stereo_imu,GT_MH01,0.04676958347809053,0.04272077690043436,0.1052158029564029,0.01903494575083923,0.047490995718757575,1.0086414328764914
2026-01-31_14-44-44_result_normal_MH01_MaskVerticalStripes_run9,f_dataset-MH01_stereo_imu,GT_MH01,0.042286689702732985,0.03925090722241524,0.07798048980723195,0.015733099129941797,0.043823607319299074,1.008749506634836
2026-01-31_14-44-44_result_normal_MH02_MaskVerticalStripes_run1,f_dataset-MH02_stereo_imu,GT_MH02,0.05238599596148318,0.03813701102619146,0.15343365667006972,0.03591463438300163,0.026690769011120673,1.000934752463327
2026-01-31_14-44-44_result_normal_MH02_MaskVerticalStripes_run10,f_dataset-MH02_stereo_imu,GT_MH02,0.035737522247847174,0.03002990914481506,0.10162203539098477,0.019374598142142842,0.022387254299285418,0.9984420901192896
2026-01-31_14-44-44_result_normal_MH02_MaskVerticalStripes_run2,f_dataset-MH02_stereo_imu,GT_MH02,0.032907028065188935,0.027483900997963266,0.09679460872473432,0.018097173315666897,0.02348031583856445,0.9986398827792945
2026-01-31_14-44-44_result_normal_MH02_MaskVerticalStripes_run3,f_dataset-MH02_stereo_imu,GT_MH02,0.03576927231267694,0.03053030123476682,0.09988916624014106,0.01863710139192339,0.023180269960496235,1.0008997681101193
2026-01-31_14-44-44_result_normal_MH02_MaskVerticalStripes_run4,f_dataset-MH02_stereo_imu,GT_MH02,0.1451083286198751,0.10497512169398038,0.416089784673377,0.10018308669724482,0.08033264918574079,1.0059422202983366
2026-01-31_14-44-44_result_normal_MH02_MaskVerticalStripes_run5,f_dataset-MH02_stereo_imu,GT_MH02,0.04081009200527371,0.033769138185648764,0.1195929214443858,0.02291525508645855,0.024805169928832728,0.9999461280845673
