run_id,dataset,rmse,mean,max,std,median,scale_factor
2026-01-26_21-29-20MH03run5,f_dataset-MH03_stereo_inertial,GT_MH03,0.5494139370047055,0.4623904464995094,2.755200677012396,0.29673346484849833,0.4161689869676097,0.9699944171058819
2026-01-26_21-29-20MH03run6,f_dataset-MH03_stereo_inertial,GT_MH03,2.9538975032607486,2.4428232541050448,6.493944086341891,1.6607603707259284,1.6354757981057588,0.5968479173465745
2026-01-26_21-29-20MH03run7,f_dataset-MH03_stereo_inertial,GT_MH03,0.3180337636382461,0.2388655546555323,2.445679968450148,0.20997314498052533,0.21502834949873986,0.9998080031732339
2026-01-26_21-29-20MH03run8,f_dataset-MH03_stereo_inertial,GT_MH03,0.42243764022782376,0.2860147971817336,3.160388528489352,0.31088437669709945,0.22625266382509135,0.9969995654180046
2026-01-26_21-29-20MH03run9,f_dataset-MH03_stereo_inertial,GT_MH03,2.2018543874357137,1.7782642283176477,4.883123614995111,1.2984371674269577,1.0872676883493788,0.729069174393054
2026-01-26_21-29-20V101run1,f_dataset-V101_stereo_inertial,GT_V101,0.5508838545902272,0.3725304499258818,4.853208536553983,0.40582519035442655,0.28355465743836006,0.9709855404985928
2026-01-26_21-29-20V101run10,f_dataset-V101_stereo_inertial,GT_V101,0.7609247413854027,0.3523165439405677,5.423013748118406,0.6744475627639379,0.2375841438150011,0.8221863760266958
2026-01-26_21-29-20V101run4,f_dataset-V101_stereo_inertial,GT_V101,0.8672956524948181,0.7041298035104414,6.063956518483638,0.5063624873988588,0.6764822882362582,0.8287194213231845
2026-01-26_21-29-20V101run5,f_dataset-V101_stereo_inertial,GT_V101,0.9302491202859452,0.8172051652465748,5.424357452198615,0.4444537587726009,0.8882048035469098,0.8675565465481984
2026-01-26_21-29-20V101run6,f_dataset-V101_stereo_inertial,GT_V101,1.0824881219398952,0.9553457142689427,5.33368327055712,0.5090138508615707,0.9199732605878167,0.8235149775585671
2026-01-26_21-29-20V101run7,f_dataset-V101_stereo_inertial,GT_V101,0.5175398863616583,0.24888960761768453,6.134658403689956,0.45376370193654003,0.16755416966023012,0.9458710203319375
2026-01-26_21-29-20V101run9,f_dataset-V101_stereo_inertial,GT_V101,0.42430584823882384,0.21783367257265246,4.130910208421396,0.36412078208086146,0.13537908944545685,0.9542392211344439
2026-01-26_21-29-20V201run2,f_dataset-V201_stereo_inertial,GT_V201,0.7683638460232577,0.5983202742232601,4.861247133789544,0.48207452673736584,0.46283950188571893,1.211603069621068
2026-01-26_21-29-20V201run7,f_dataset-V201_stereo_inertial,GT_V201,0.678868913401728,0.4897809079642101,5.281513203447788,0.4700826137786811,0.34703236192193976,1.1657552314505275
2026-01-26_21-29-20V201run8,f_dataset-V201_stereo_inertial,GT_V201,1.77768295787278,1.2729085206898265,7.376527305803283,1.2409111961242645,0.8971346854798063,0.5867245354707261
2026-01-26_21-29-20V201run9,f_dataset-V201_stereo_inertial,GT_V201,1.6592373651765926,1.1775209789964745,6.525431891006669,1.168979460051093,0.7720963204562554,0.6235371226787422
2026-01-26_21-29-20V202run7,f_dataset-V202_stereo_inertial,GT_V202,1.2987852543925738,0.7547182497223756,6.919345713460582,1.0569973985604584,0.5677347898917753,0.6740109129908182
